The following modules were not unloaded:
  (Use "module --force purge" to unload all):

  1) modules/2.3-20240529   2) openblas/single-0.3.26
🚀 Starting Run. All outputs will be saved to: training_outputs/20250728-180254
⚙️ Using device: cuda
Hyperparameters: {'input_depth': 64, 'input_height': 64, 'input_width': 64, 'num_classes': 4, 'learning_rate': 1e-05, 'batch_size': 16, 'num_epochs': 300, 'num_input_channels': 3, 'max_samples_per_class': 216}

Loading datasets...
Dataset loaded with 684 total samples:
  - mitotic: 216 samples
  - new_daughter: 216 samples
  - stable: 216 samples
  - death: 36 samples
  Applied per-class limit: 216 samples/class
Dataset loaded with 684 total samples:
  - mitotic: 216 samples
  - new_daughter: 216 samples
  - stable: 216 samples
  - death: 36 samples
  Applied per-class limit: 216 samples/class

Training on 547 samples, validating on 137 samples.
Model has 71,012 trainable parameters.

--- Starting Training ---
Epoch [001/300] | Duration: 54.31s | Train Loss: 1.3491 | Train Acc: 0.3199 | Val Loss: 1.3156 | Val Acc: 0.4307 | Val F1: 0.2636
Epoch [023/300] | Duration: 27.73s | Train Loss: 1.1195 | Train Acc: 0.5887 | Val Loss: 1.0883 | Val Acc: 0.5693 | Val F1: 0.4367
Epoch [024/300] | Duration: 27.80s | Train Loss: 1.1074 | Train Acc: 0.6015 | Val Loss: 1.0849 | Val Acc: 0.6204 | Val F1: 0.4766
Epoch [025/300] | Duration: 28.24s | Train Loss: 1.0725 | Train Acc: 0.6143 | Val Loss: 1.0883 | Val Acc: 0.6204 | Val F1: 0.4782
Epoch [026/300] | Duration: 28.19s | Train Loss: 1.0764 | Train Acc: 0.6033 | Val Loss: 1.0844 | Val Acc: 0.5693 | Val F1: 0.4367
Epoch [027/300] | Duration: 27.89s | Train Loss: 1.0976 | Train Acc: 0.5887 | Val Loss: 1.0842 | Val Acc: 0.5839 | Val F1: 0.4498
Epoch [028/300] | Duration: 27.67s | Train Loss: 1.0963 | Train Acc: 0.5960 | Val Loss: 1.0858 | Val Acc: 0.5985 | Val F1: 0.4604
Epoch [029/300] | Duration: 27.83s | Train Loss: 1.0703 | Train Acc: 0.6051 | Val Loss: 1.0761 | Val Acc: 0.6131 | Val F1: 0.4715
Epoch [030/300] | Duration: 27.48s | Train Loss: 1.0681 | Train Acc: 0.6234 | Val Loss: 1.0727 | Val Acc: 0.6204 | Val F1: 0.4774
Epoch [031/300] | Duration: 25.45s | Train Loss: 1.0850 | Train Acc: 0.6124 | Val Loss: 1.0704 | Val Acc: 0.6058 | Val F1: 0.4664
Epoch [032/300] | Duration: 24.59s | Train Loss: 1.0661 | Train Acc: 0.5887 | Val Loss: 1.0856 | Val Acc: 0.6277 | Val F1: 0.4826
Epoch [033/300] | Duration: 24.74s | Train Loss: 1.0980 | Train Acc: 0.5887 | Val Loss: 1.0760 | Val Acc: 0.6058 | Val F1: 0.4661
Epoch [034/300] | Duration: 26.04s | Train Loss: 1.0889 | Train Acc: 0.6033 | Val Loss: 1.0793 | Val Acc: 0.6058 | Val F1: 0.4687
Epoch [035/300] | Duration: 26.23s | Train Loss: 1.0661 | Train Acc: 0.6234 | Val Loss: 1.0741 | Val Acc: 0.5985 | Val F1: 0.4623
Epoch [036/300] | Duration: 26.58s | Train Loss: 1.0748 | Train Acc: 0.6015 | Val Loss: 1.0726 | Val Acc: 0.5766 | Val F1: 0.4455
Epoch [037/300] | Duration: 25.66s | Train Loss: 1.0458 | Train Acc: 0.6124 | Val Loss: 1.0704 | Val Acc: 0.6131 | Val F1: 0.4714
Epoch [038/300] | Duration: 25.54s | Train Loss: 1.0458 | Train Acc: 0.6179 | Val Loss: 1.0635 | Val Acc: 0.6131 | Val F1: 0.4722
Epoch [039/300] | Duration: 25.60s | Train Loss: 1.0606 | Train Acc: 0.6069 | Val Loss: 1.0685 | Val Acc: 0.5912 | Val F1: 0.4538
Epoch [040/300] | Duration: 26.07s | Train Loss: 1.0381 | Train Acc: 0.6362 | Val Loss: 1.0625 | Val Acc: 0.5912 | Val F1: 0.4554
Epoch [041/300] | Duration: 26.87s | Train Loss: 1.0508 | Train Acc: 0.6179 | Val Loss: 1.0627 | Val Acc: 0.6058 | Val F1: 0.4669
Epoch [042/300] | Duration: 27.46s | Train Loss: 1.0488 | Train Acc: 0.6033 | Val Loss: 1.0654 | Val Acc: 0.6058 | Val F1: 0.4666
Epoch [043/300] | Duration: 27.93s | Train Loss: 1.0334 | Train Acc: 0.6015 | Val Loss: 1.0684 | Val Acc: 0.6058 | Val F1: 0.4669
Epoch [044/300] | Duration: 27.41s | Train Loss: 1.0421 | Train Acc: 0.6179 | Val Loss: 1.0699 | Val Acc: 0.6131 | Val F1: 0.4729
Epoch [045/300] | Duration: 28.02s | Train Loss: 1.0464 | Train Acc: 0.6179 | Val Loss: 1.0645 | Val Acc: 0.6131 | Val F1: 0.4721
Epoch [046/300] | Duration: 28.27s | Train Loss: 1.0432 | Train Acc: 0.6179 | Val Loss: 1.0707 | Val Acc: 0.5985 | Val F1: 0.4636
Epoch [047/300] | Duration: 28.26s | Train Loss: 1.0358 | Train Acc: 0.6362 | Val Loss: 1.0569 | Val Acc: 0.6131 | Val F1: 0.4733
Epoch [048/300] | Duration: 27.87s | Train Loss: 1.0383 | Train Acc: 0.6271 | Val Loss: 1.0691 | Val Acc: 0.5985 | Val F1: 0.4624
Epoch [049/300] | Duration: 27.70s | Train Loss: 1.0219 | Train Acc: 0.6362 | Val Loss: 1.0520 | Val Acc: 0.6131 | Val F1: 0.4736
Epoch [050/300] | Duration: 27.58s | Train Loss: 1.0388 | Train Acc: 0.6033 | Val Loss: 1.0593 | Val Acc: 0.5985 | Val F1: 0.4619
Epoch [051/300] | Duration: 27.09s | Train Loss: 1.0482 | Train Acc: 0.6161 | Val Loss: 1.0598 | Val Acc: 0.6131 | Val F1: 0.4721
Epoch [052/300] | Duration: 26.75s | Train Loss: 1.0274 | Train Acc: 0.6307 | Val Loss: 1.0578 | Val Acc: 0.6204 | Val F1: 0.4775
Epoch [053/300] | Duration: 26.66s | Train Loss: 1.0503 | Train Acc: 0.6252 | Val Loss: 1.0484 | Val Acc: 0.6058 | Val F1: 0.4647
Epoch [054/300] | Duration: 32.89s | Train Loss: 1.0237 | Train Acc: 0.6271 | Val Loss: 1.0516 | Val Acc: 0.5912 | Val F1: 0.4554
Epoch [055/300] | Duration: 38.73s | Train Loss: 1.0407 | Train Acc: 0.6161 | Val Loss: 1.0538 | Val Acc: 0.6058 | Val F1: 0.4674
Epoch [056/300] | Duration: 26.18s | Train Loss: 1.0153 | Train Acc: 0.6325 | Val Loss: 1.0597 | Val Acc: 0.6131 | Val F1: 0.4715
Epoch [057/300] | Duration: 26.74s | Train Loss: 1.0418 | Train Acc: 0.6161 | Val Loss: 1.0480 | Val Acc: 0.6131 | Val F1: 0.4748
Epoch [058/300] | Duration: 27.45s | Train Loss: 1.0003 | Train Acc: 0.6380 | Val Loss: 1.0487 | Val Acc: 0.6058 | Val F1: 0.4678
Epoch [059/300] | Duration: 27.14s | Train Loss: 1.0151 | Train Acc: 0.6252 | Val Loss: 1.0478 | Val Acc: 0.5985 | Val F1: 0.4634
Epoch [060/300] | Duration: 27.56s | Train Loss: 1.0098 | Train Acc: 0.6453 | Val Loss: 1.0472 | Val Acc: 0.5985 | Val F1: 0.4592
Epoch [061/300] | Duration: 27.52s | Train Loss: 1.0118 | Train Acc: 0.6252 | Val Loss: 1.0489 | Val Acc: 0.6058 | Val F1: 0.4690
Epoch [062/300] | Duration: 27.90s | Train Loss: 1.0433 | Train Acc: 0.6234 | Val Loss: 1.0442 | Val Acc: 0.6350 | Val F1: 0.4905
🎉 New best model found! F1-Score: 0.4905. Saved to training_outputs/20250728-180254/best_model.pth
Epoch [063/300] | Duration: 27.21s | Train Loss: 1.0447 | Train Acc: 0.6216 | Val Loss: 1.0488 | Val Acc: 0.6204 | Val F1: 0.4791
Epoch [064/300] | Duration: 27.46s | Train Loss: 1.0168 | Train Acc: 0.6344 | Val Loss: 1.0402 | Val Acc: 0.6204 | Val F1: 0.4797
Epoch [065/300] | Duration: 27.12s | Train Loss: 1.0266 | Train Acc: 0.6362 | Val Loss: 1.0420 | Val Acc: 0.6204 | Val F1: 0.4794
Epoch [066/300] | Duration: 27.83s | Train Loss: 0.9945 | Train Acc: 0.6636 | Val Loss: 1.0380 | Val Acc: 0.6131 | Val F1: 0.4736
Epoch [067/300] | Duration: 27.71s | Train Loss: 1.0146 | Train Acc: 0.6252 | Val Loss: 1.0481 | Val Acc: 0.5985 | Val F1: 0.4635
Epoch [068/300] | Duration: 27.20s | Train Loss: 1.0203 | Train Acc: 0.6417 | Val Loss: 1.0343 | Val Acc: 0.6058 | Val F1: 0.4711
Epoch [069/300] | Duration: 24.97s | Train Loss: 1.0290 | Train Acc: 0.6252 | Val Loss: 1.0436 | Val Acc: 0.6204 | Val F1: 0.4789
Epoch [070/300] | Duration: 25.05s | Train Loss: 1.0012 | Train Acc: 0.6453 | Val Loss: 1.0390 | Val Acc: 0.6058 | Val F1: 0.4689
Epoch [071/300] | Duration: 25.07s | Train Loss: 1.0332 | Train Acc: 0.6362 | Val Loss: 1.0346 | Val Acc: 0.6204 | Val F1: 0.4792
Epoch [072/300] | Duration: 25.28s | Train Loss: 0.9806 | Train Acc: 0.6545 | Val Loss: 1.0382 | Val Acc: 0.6131 | Val F1: 0.4740
Epoch [073/300] | Duration: 25.66s | Train Loss: 1.0092 | Train Acc: 0.6271 | Val Loss: 1.0370 | Val Acc: 0.6277 | Val F1: 0.4867
Epoch [074/300] | Duration: 25.35s | Train Loss: 0.9927 | Train Acc: 0.6453 | Val Loss: 1.0349 | Val Acc: 0.6204 | Val F1: 0.4775
Epoch [075/300] | Duration: 25.48s | Train Loss: 0.9883 | Train Acc: 0.6782 | Val Loss: 1.0309 | Val Acc: 0.6204 | Val F1: 0.4799
Epoch [076/300] | Duration: 25.54s | Train Loss: 0.9809 | Train Acc: 0.6399 | Val Loss: 1.0333 | Val Acc: 0.6058 | Val F1: 0.4686
Epoch [077/300] | Duration: 26.26s | Train Loss: 1.0066 | Train Acc: 0.6581 | Val Loss: 1.0306 | Val Acc: 0.6131 | Val F1: 0.4742
Epoch [078/300] | Duration: 27.84s | Train Loss: 0.9954 | Train Acc: 0.6417 | Val Loss: 1.0242 | Val Acc: 0.6131 | Val F1: 0.4734
Epoch [079/300] | Duration: 27.61s | Train Loss: 0.9574 | Train Acc: 0.6618 | Val Loss: 1.0320 | Val Acc: 0.6204 | Val F1: 0.4794
Epoch [080/300] | Duration: 26.46s | Train Loss: 0.9971 | Train Acc: 0.6362 | Val Loss: 1.0320 | Val Acc: 0.6131 | Val F1: 0.4740
Epoch [081/300] | Duration: 27.30s | Train Loss: 0.9779 | Train Acc: 0.6581 | Val Loss: 1.0335 | Val Acc: 0.6204 | Val F1: 0.4797
Epoch [082/300] | Duration: 27.03s | Train Loss: 0.9909 | Train Acc: 0.6435 | Val Loss: 1.0413 | Val Acc: 0.6350 | Val F1: 0.4871
Epoch [083/300] | Duration: 26.89s | Train Loss: 0.9894 | Train Acc: 0.6344 | Val Loss: 1.0407 | Val Acc: 0.6058 | Val F1: 0.4662
Epoch [084/300] | Duration: 26.63s | Train Loss: 0.9913 | Train Acc: 0.6325 | Val Loss: 1.0290 | Val Acc: 0.6204 | Val F1: 0.4809
Epoch [085/300] | Duration: 26.87s | Train Loss: 0.9813 | Train Acc: 0.6490 | Val Loss: 1.0323 | Val Acc: 0.6204 | Val F1: 0.4782
Epoch [086/300] | Duration: 26.03s | Train Loss: 0.9819 | Train Acc: 0.6527 | Val Loss: 1.0266 | Val Acc: 0.6204 | Val F1: 0.4801
Epoch [087/300] | Duration: 25.96s | Train Loss: 0.9926 | Train Acc: 0.6344 | Val Loss: 1.0315 | Val Acc: 0.6131 | Val F1: 0.4740
Epoch [088/300] | Duration: 25.88s | Train Loss: 0.9674 | Train Acc: 0.6600 | Val Loss: 1.0336 | Val Acc: 0.6131 | Val F1: 0.4727
Epoch [089/300] | Duration: 26.38s | Train Loss: 0.9738 | Train Acc: 0.6563 | Val Loss: 1.0254 | Val Acc: 0.6131 | Val F1: 0.4743
Epoch [090/300] | Duration: 26.02s | Train Loss: 0.9741 | Train Acc: 0.6691 | Val Loss: 1.0275 | Val Acc: 0.6350 | Val F1: 0.4882
Epoch [091/300] | Duration: 25.86s | Train Loss: 0.9742 | Train Acc: 0.6563 | Val Loss: 1.0397 | Val Acc: 0.6277 | Val F1: 0.4855
Epoch [092/300] | Duration: 26.18s | Train Loss: 0.9810 | Train Acc: 0.6636 | Val Loss: 1.0334 | Val Acc: 0.6204 | Val F1: 0.4827
Epoch [093/300] | Duration: 26.24s | Train Loss: 0.9727 | Train Acc: 0.6545 | Val Loss: 1.0259 | Val Acc: 0.6204 | Val F1: 0.4787
Epoch [094/300] | Duration: 25.11s | Train Loss: 0.9852 | Train Acc: 0.6435 | Val Loss: 1.0302 | Val Acc: 0.6277 | Val F1: 0.4871
Epoch [095/300] | Duration: 25.02s | Train Loss: 0.9661 | Train Acc: 0.6581 | Val Loss: 1.0346 | Val Acc: 0.6131 | Val F1: 0.4765
Epoch [096/300] | Duration: 27.14s | Train Loss: 0.9621 | Train Acc: 0.6490 | Val Loss: 1.0202 | Val Acc: 0.6204 | Val F1: 0.4794
Epoch [097/300] | Duration: 27.27s | Train Loss: 0.9669 | Train Acc: 0.6527 | Val Loss: 1.0192 | Val Acc: 0.6204 | Val F1: 0.4839
Epoch [098/300] | Duration: 26.78s | Train Loss: 0.9818 | Train Acc: 0.6344 | Val Loss: 1.0210 | Val Acc: 0.6058 | Val F1: 0.4729
Epoch [099/300] | Duration: 26.42s | Train Loss: 0.9711 | Train Acc: 0.6654 | Val Loss: 1.0248 | Val Acc: 0.6204 | Val F1: 0.4785
Epoch [100/300] | Duration: 25.42s | Train Loss: 0.9771 | Train Acc: 0.6453 | Val Loss: 1.0212 | Val Acc: 0.6204 | Val F1: 0.4786
Epoch [101/300] | Duration: 25.89s | Train Loss: 0.9670 | Train Acc: 0.6490 | Val Loss: 1.0223 | Val Acc: 0.6204 | Val F1: 0.4788
Epoch [102/300] | Duration: 25.19s | Train Loss: 0.9645 | Train Acc: 0.6399 | Val Loss: 1.0330 | Val Acc: 0.6204 | Val F1: 0.4792
Epoch [103/300] | Duration: 25.47s | Train Loss: 0.9688 | Train Acc: 0.6307 | Val Loss: 1.0170 | Val Acc: 0.6204 | Val F1: 0.4785
Epoch [104/300] | Duration: 25.87s | Train Loss: 0.9658 | Train Acc: 0.6399 | Val Loss: 1.0188 | Val Acc: 0.6131 | Val F1: 0.4729
Epoch [105/300] | Duration: 25.38s | Train Loss: 0.9810 | Train Acc: 0.6472 | Val Loss: 1.0194 | Val Acc: 0.6204 | Val F1: 0.4776
Epoch [106/300] | Duration: 24.77s | Train Loss: 0.9723 | Train Acc: 0.6618 | Val Loss: 1.0197 | Val Acc: 0.6131 | Val F1: 0.4733
Epoch [107/300] | Duration: 25.76s | Train Loss: 0.9629 | Train Acc: 0.6600 | Val Loss: 1.0170 | Val Acc: 0.6131 | Val F1: 0.4738
Epoch [108/300] | Duration: 25.76s | Train Loss: 0.9732 | Train Acc: 0.6600 | Val Loss: 1.0212 | Val Acc: 0.6277 | Val F1: 0.4835
Epoch [109/300] | Duration: 26.02s | Train Loss: 0.9762 | Train Acc: 0.6709 | Val Loss: 1.0153 | Val Acc: 0.6204 | Val F1: 0.4780
Epoch [110/300] | Duration: 26.37s | Train Loss: 0.9567 | Train Acc: 0.6764 | Val Loss: 1.0123 | Val Acc: 0.6131 | Val F1: 0.4738
Epoch [111/300] | Duration: 26.62s | Train Loss: 0.9569 | Train Acc: 0.6545 | Val Loss: 1.0025 | Val Acc: 0.6131 | Val F1: 0.4744
Epoch [112/300] | Duration: 27.66s | Train Loss: 0.9608 | Train Acc: 0.6673 | Val Loss: 1.0110 | Val Acc: 0.6058 | Val F1: 0.4663
Epoch [113/300] | Duration: 27.45s | Train Loss: 0.9678 | Train Acc: 0.6673 | Val Loss: 1.0056 | Val Acc: 0.6204 | Val F1: 0.4788
Epoch [114/300] | Duration: 27.65s | Train Loss: 0.9784 | Train Acc: 0.6380 | Val Loss: 1.0148 | Val Acc: 0.6131 | Val F1: 0.4745
Epoch [115/300] | Duration: 26.80s | Train Loss: 0.9615 | Train Acc: 0.6545 | Val Loss: 0.9984 | Val Acc: 0.6204 | Val F1: 0.4792
Epoch [116/300] | Duration: 26.73s | Train Loss: 0.9545 | Train Acc: 0.6618 | Val Loss: 0.9994 | Val Acc: 0.6058 | Val F1: 0.4668
Epoch [117/300] | Duration: 26.53s | Train Loss: 0.9349 | Train Acc: 0.6600 | Val Loss: 0.9932 | Val Acc: 0.6277 | Val F1: 0.4835
Epoch [118/300] | Duration: 26.66s | Train Loss: 0.9543 | Train Acc: 0.6600 | Val Loss: 0.9981 | Val Acc: 0.6277 | Val F1: 0.4866
Epoch [119/300] | Duration: 26.25s | Train Loss: 0.9735 | Train Acc: 0.6563 | Val Loss: 1.0108 | Val Acc: 0.6277 | Val F1: 0.4829
Epoch [120/300] | Duration: 26.51s | Train Loss: 0.9615 | Train Acc: 0.6508 | Val Loss: 1.0198 | Val Acc: 0.6204 | Val F1: 0.4770
Epoch [121/300] | Duration: 27.02s | Train Loss: 0.9494 | Train Acc: 0.6709 | Val Loss: 0.9989 | Val Acc: 0.6204 | Val F1: 0.4780
Epoch [122/300] | Duration: 26.58s | Train Loss: 0.9510 | Train Acc: 0.6581 | Val Loss: 1.0097 | Val Acc: 0.6131 | Val F1: 0.4734
Epoch [123/300] | Duration: 26.67s | Train Loss: 0.9364 | Train Acc: 0.6801 | Val Loss: 1.0076 | Val Acc: 0.6277 | Val F1: 0.4829
Epoch [124/300] | Duration: 27.06s | Train Loss: 0.9465 | Train Acc: 0.6453 | Val Loss: 1.0009 | Val Acc: 0.6204 | Val F1: 0.4774
Epoch [125/300] | Duration: 26.25s | Train Loss: 0.9418 | Train Acc: 0.6673 | Val Loss: 1.0113 | Val Acc: 0.6496 | Val F1: 0.4996
🎉 New best model found! F1-Score: 0.4996. Saved to training_outputs/20250728-180254/best_model.pth
Epoch [126/300] | Duration: 26.42s | Train Loss: 0.9451 | Train Acc: 0.6819 | Val Loss: 0.9997 | Val Acc: 0.6058 | Val F1: 0.4686
Epoch [127/300] | Duration: 25.93s | Train Loss: 0.9425 | Train Acc: 0.6654 | Val Loss: 0.9977 | Val Acc: 0.6277 | Val F1: 0.4835
Epoch [128/300] | Duration: 26.62s | Train Loss: 0.9494 | Train Acc: 0.6782 | Val Loss: 1.0024 | Val Acc: 0.6058 | Val F1: 0.4673
Epoch [129/300] | Duration: 26.33s | Train Loss: 0.9331 | Train Acc: 0.6691 | Val Loss: 0.9980 | Val Acc: 0.6350 | Val F1: 0.4885
Epoch [130/300] | Duration: 27.33s | Train Loss: 0.9666 | Train Acc: 0.6435 | Val Loss: 0.9988 | Val Acc: 0.6131 | Val F1: 0.4750
Epoch [131/300] | Duration: 27.37s | Train Loss: 0.9364 | Train Acc: 0.6581 | Val Loss: 0.9980 | Val Acc: 0.6204 | Val F1: 0.4793
Epoch [132/300] | Duration: 27.11s | Train Loss: 0.9265 | Train Acc: 0.6837 | Val Loss: 0.9997 | Val Acc: 0.6277 | Val F1: 0.4840
Epoch [133/300] | Duration: 27.11s | Train Loss: 0.9385 | Train Acc: 0.6746 | Val Loss: 0.9996 | Val Acc: 0.6350 | Val F1: 0.4891
Epoch [134/300] | Duration: 27.01s | Train Loss: 0.9320 | Train Acc: 0.6691 | Val Loss: 0.9940 | Val Acc: 0.6277 | Val F1: 0.4829
Epoch [135/300] | Duration: 26.79s | Train Loss: 0.9209 | Train Acc: 0.6947 | Val Loss: 0.9940 | Val Acc: 0.6204 | Val F1: 0.4793
Epoch [136/300] | Duration: 27.17s | Train Loss: 0.9097 | Train Acc: 0.6545 | Val Loss: 0.9958 | Val Acc: 0.6496 | Val F1: 0.4998
🎉 New best model found! F1-Score: 0.4998. Saved to training_outputs/20250728-180254/best_model.pth
Epoch [137/300] | Duration: 26.61s | Train Loss: 0.9332 | Train Acc: 0.6453 | Val Loss: 0.9946 | Val Acc: 0.6204 | Val F1: 0.4822
Epoch [138/300] | Duration: 26.22s | Train Loss: 0.9673 | Train Acc: 0.6399 | Val Loss: 0.9975 | Val Acc: 0.6204 | Val F1: 0.4806
Epoch [139/300] | Duration: 26.29s | Train Loss: 0.9565 | Train Acc: 0.6417 | Val Loss: 0.9911 | Val Acc: 0.6204 | Val F1: 0.4822
Epoch [140/300] | Duration: 26.64s | Train Loss: 0.9143 | Train Acc: 0.6874 | Val Loss: 0.9971 | Val Acc: 0.6131 | Val F1: 0.4743
Epoch [141/300] | Duration: 26.33s | Train Loss: 0.9188 | Train Acc: 0.6654 | Val Loss: 0.9929 | Val Acc: 0.6131 | Val F1: 0.4737
Epoch [142/300] | Duration: 26.35s | Train Loss: 0.9203 | Train Acc: 0.6654 | Val Loss: 0.9993 | Val Acc: 0.6204 | Val F1: 0.4785
Epoch [143/300] | Duration: 26.32s | Train Loss: 0.9370 | Train Acc: 0.6618 | Val Loss: 0.9892 | Val Acc: 0.6277 | Val F1: 0.4835
Epoch [144/300] | Duration: 26.33s | Train Loss: 0.9381 | Train Acc: 0.6801 | Val Loss: 0.9864 | Val Acc: 0.6423 | Val F1: 0.4961
Epoch [145/300] | Duration: 26.99s | Train Loss: 0.9189 | Train Acc: 0.6691 | Val Loss: 0.9928 | Val Acc: 0.6204 | Val F1: 0.4794
Epoch [146/300] | Duration: 27.36s | Train Loss: 0.9307 | Train Acc: 0.6801 | Val Loss: 0.9775 | Val Acc: 0.6423 | Val F1: 0.4959
Epoch [147/300] | Duration: 26.63s | Train Loss: 0.9438 | Train Acc: 0.6654 | Val Loss: 0.9742 | Val Acc: 0.6350 | Val F1: 0.4907
Epoch [148/300] | Duration: 27.85s | Train Loss: 0.9250 | Train Acc: 0.6654 | Val Loss: 0.9768 | Val Acc: 0.6350 | Val F1: 0.4901
Epoch [149/300] | Duration: 28.30s | Train Loss: 0.9033 | Train Acc: 0.6837 | Val Loss: 0.9767 | Val Acc: 0.6350 | Val F1: 0.4889
Epoch [150/300] | Duration: 28.02s | Train Loss: 0.9237 | Train Acc: 0.6782 | Val Loss: 0.9728 | Val Acc: 0.6423 | Val F1: 0.4947
Epoch [151/300] | Duration: 27.98s | Train Loss: 0.8959 | Train Acc: 0.6856 | Val Loss: 0.9796 | Val Acc: 0.6131 | Val F1: 0.4752
Epoch [152/300] | Duration: 27.75s | Train Loss: 0.9228 | Train Acc: 0.6636 | Val Loss: 0.9733 | Val Acc: 0.6423 | Val F1: 0.4949
Epoch [153/300] | Duration: 27.43s | Train Loss: 0.9193 | Train Acc: 0.6691 | Val Loss: 0.9835 | Val Acc: 0.6496 | Val F1: 0.4991
